Date,Class,Subject,Session
01-Feb-2025,1,Math,Morning
03-Feb-2025,1,Science,Afternoon
04-Feb-2025,1,English,Morning
05-Feb-2025,1,History,Morning
06-Feb-2025,1,Geography,Morning
07-Feb-2025,1,Art,Afternoon
08-Feb-2025,1,Music,Morning
10-Feb-2025,1,PE,Afternoon
11-Feb-2025,1,Computers,Morning
12-Feb-2025,1,Chemistry,Morning
01-Feb-2025,2,Science,Afternoon
03-Feb-2025,2,Math,Afternoon
04-Feb-2025,2,History,Afternoon
05-Feb-2025,2,English,Afternoon
06-Feb-2025,2,Art,Afternoon
07-Feb-2025,2,Geography,Afternoon
10-Feb-2025,2,Music,Morning
11-Feb-2025,2,PE,Afternoon
12-Feb-2025,2,Computers,Morning
13-Feb-2025,2,Chemistry,Morning
01-Feb-2025,3,English,Afternoon
04-Feb-2025,3,Math,Afternoon
05-Feb-2025,3,Science,Morning
06-Feb-2025,3,History,Afternoon
08-Feb-2025,3,Geography,Morning
10-Feb-2025,3,Art,Morning
11-Feb-2025,3,Music,Morning
12-Feb-2025,3,PE,Afternoon
13-Feb-2025,3,Computers,Morning
01-Feb-2025,4,Math,Morning
04-Feb-2025,4,Science,Morning
06-Feb-2025,4,English,Afternoon
07-Feb-2025,4,History,Morning
10-Feb-2025,4,Geography,Morning
11-Feb-2025,4,Art,Afternoon
12-Feb-2025,4,Music,Morning
13-Feb-2025,4,PE,Morning
