Date,Class,Subject,Session
01-Feb-2025,1,Math,Afternoon
03-Feb-2025,1,Science,Morning
04-Feb-2025,1,English,Afternoon
05-Feb-2025,1,History,Morning
06-Feb-2025,1,Geography,Morning
07-Feb-2025,1,Art,Afternoon
08-Feb-2025,1,Music,Morning
10-Feb-2025,1,PE,Morning
11-Feb-2025,1,Computers,Afternoon
12-Feb-2025,1,Chemistry,Morning
01-Feb-2025,2,Science,Morning
03-Feb-2025,2,Math,Morning
04-Feb-2025,2,History,Afternoon
05-Feb-2025,2,English,Afternoon
06-Feb-2025,2,Art,Morning
07-Feb-2025,2,Geography,Afternoon
10-Feb-2025,2,Music,Afternoon
11-Feb-2025,2,PE,Morning
12-Feb-2025,2,Computers,Morning
13-Feb-2025,2,Chemistry,Afternoon
01-Feb-2025,3,English,Afternoon
04-Feb-2025,3,Math,Afternoon
05-Feb-2025,3,Science,Morning
06-Feb-2025,3,History,Afternoon
08-Feb-2025,3,Geography,Afternoon
10-Feb-2025,3,Art,Afternoon
11-Feb-2025,3,Music,Afternoon
12-Feb-2025,3,PE,Afternoon
13-Feb-2025,3,Computers,Afternoon
01-Feb-2025,4,Math,Morning
04-Feb-2025,4,Science,Morning
06-Feb-2025,4,English,Morning
07-Feb-2025,4,History,Afternoon
10-Feb-2025,4,Geography,Morning
11-Feb-2025,4,Art,Morning
12-Feb-2025,4,Music,Morning
13-Feb-2025,4,PE,Afternoon
